datum;uitspoeling;afstroming;verhouding
2016-07-29;995.578707413374;0;100
2016-07-30;977.866296628026;0;100
2016-07-31;960.799719657839;0;100
2016-08-01;972.362575383668;0;100
2016-08-02;945.540350820642;0;100
2016-08-03;1470.17100059117;0;100
2016-08-04;1466.74355446409;0;100
2016-08-05;1094.7474065424;0;100
2016-08-06;1568.97734876005;0;100
2016-08-07;1254.79296316854;0;100
2016-08-08;1074.54148746895;0;100
2016-08-09;2083.04930097753;0;100
2016-08-10;2366.21413171275;0;100
2016-08-11;1909.77260667642;0;100
2016-08-12;3457.67127252416;0;100
2016-08-13;2917.34924399716;0;100
2016-08-14;2200.89142361802;0;100
2016-08-15;1751.69440720425;0;100
2016-08-16;1331.43375348235;0;100
2016-08-17;1164.26570752267;0;100
2016-08-18;1092.37346489454;0;100
2016-08-19;1083.2328414043;0;100
2016-08-20;1349.08024422769;0;100
2016-08-21;2965.78172077734;0;100
2016-08-22;5808.70223787825;0;100
2016-08-23;4612.71416978213;0;100
2016-08-24;3083.09774231031;0;100
2016-08-25;2025.98224625321;0;100
2016-08-26;1584.09819727957;0;100
2016-08-27;1335.23013142383;0;100
2016-08-28;1244.92030982685;0;100
2016-08-29;1263.17733353494;0;100
2016-08-30;1284.61427052888;0;100
2016-08-31;1248.51359576794;0;100
2016-09-01;1200.11418286435;0;100
2016-09-02;1184.75668662871;0;100
2016-09-03;1183.59316442073;0;100
2016-09-04;2002.27735637548;0;100
2016-09-05;2381.84987774001;0;100
2016-09-06;1941.92157188795;0;100
2016-09-07;1607.58195882279;0;100
2016-09-08;1265.86202335544;0;100
2016-09-09;1178.30897406713;0;100
2016-09-10;1119.32074982958;0;100
2016-09-11;1092.67645646726;0;100
2016-09-12;1071.18981832123;0;100
2016-09-13;1045.49007479416;0;100
2016-09-14;1012.04988987531;0;100
2016-09-15;978.363111530768;0;100
2016-09-16;973.219546329366;0;100
2016-09-17;974.505420772678;0;100
2016-09-18;973.277143099222;0;100
2016-09-19;949.415803191331;0;100
2016-09-20;937.475212631427;0;100
2016-09-21;936.213289505055;0;100
2016-09-22;918.018146542441;0;100
2016-09-23;910.106805755104;0;100
2016-09-24;893.375741869612;0;100
2016-09-25;875.59899790179;0;100
2016-09-26;863.846662081029;0;100
2016-09-27;865.369108106253;0;100
2016-09-28;856.025228903265;0;100
2016-09-29;844.761206013145;0;100
2016-09-30;1457.17258901732;0;100
2016-10-01;2511.63707719841;0;100
